,data,labels,generalisation,group
0,How did serfdom develop in and then leave Russia ?,2,ID,validation
1,What films featured the character Popeye Doyle ?,1,ID,train
2,How can I find a list of celebrities ' real names ?,2,ID,test
3,What fowl grabs the spotlight after the Chinese Year of the Monkey ?,1,ID,test
4,What contemptible scoundrel stole the cork from my lunch ?,3,ID,train
5,What team did baseball 's St. Louis Browns become ?,3,ID,train
6,What is the oldest profession ?,3,ID,train
7,What are liver enzymes ?,2,ID,test
8,Name the scar-faced bounty hunter of The Old West .,3,ID,test
9,When was Ozzy Osbourne born ?,5,ID,train
10,Why do heavier objects travel downhill faster ?,2,ID,test
11,Who was The Pride of the Yankees ?,3,ID,train
12,Who killed Gandhi ?,3,ID,train
13,What is considered the costliest disaster the insurance industry has ever faced ?,1,ID,train
14,What did the only repealed amendment to the U.S. Constitution deal with ?,2,ID,test
15,How many Jews were executed in concentration camps during WWII ?,5,ID,train
16,What is `` Nine Inch Nails '' ?,2,ID,test
17,What is an annotated bibliography ?,2,ID,train
18,What is the date of Boxing Day ?,5,ID,train
19,What articles of clothing are tokens in Monopoly ?,1,ID,train
20,Name 11 famous martyrs .,3,ID,test
21,What 's the Olympic motto ?,2,ID,train
22,What is the origin of the name ` Scarlett ' ?,2,ID,test
23,What 's the second-most-used vowel in English ?,1,ID,train
24,Who was the inventor of silly putty ?,3,ID,test
25,Name a golf course in Myrtle Beach .,1,ID,train
26,What does a spermologer collect ?,1,ID,train
27,How many points make up a perfect fivepin bowling score ?,5,ID,train
28,Which company that manufactures video-game hardware sells the `` super system '' ?,3,ID,train
29,How many Community Chest cards are there in Monopoly ?,5,ID,train
30,What do Mormons believe ?,2,ID,test
31,When did the neanderthal man live ?,5,ID,test
32,In what religion was Isis the nature goddess ?,1,ID,train
33,What relative of the racoon is sometimes known as the cat-bear ?,1,ID,train
34,How can I register my website in Yahoo for free ?,2,ID,train
35,What was cash-conscious Colonel Edwin L. Drake the first to drill ?,1,ID,train
36,How many people in the world speak French ?,5,ID,train
37,How many inches over six feet is the Venus de Milo ?,5,ID,validation
38,How do they find or choose witnesses to an execution ?,2,ID,train
39,What 1920s cowboy star rode Tony the Wonder Horse ?,3,ID,validation
40,What cocktail inspired John Doxat to write the book Stirred-Not Shaken ?,1,ID,train
41,What ISPs exist in the Caribbean ?,3,ID,train
42,How do you ask a total stranger out on a date ?,2,ID,train
43,What weapon is the mythological character Apollo most proficient with ?,1,ID,train
44,What is ethology ?,2,ID,validation
